species,region,cell_type,hemilineage,known_nt,known_nt_source,known_nt_evidence,known_nt_confidence
adult_drosophila_melanogaster,midbrain,EPGt,DM4_CX_d2,acetylcholine,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,ER1,EBa1,gaba,"Xie et al., 2017",immuno,5
adult_drosophila_melanogaster,midbrain,ER2,EBa1,gaba,"Xie et al., 2017",immuno,5
adult_drosophila_melanogaster,midbrain,ER3a,EBa1,gaba,"Xie et al., 2017",immuno,5
adult_drosophila_melanogaster,midbrain,ER3d,EBa1,gaba,"Xie et al., 2017",immuno,5
adult_drosophila_melanogaster,midbrain,ER3m,EBa1,gaba,"Xie et al., 2017",immuno,5
adult_drosophila_melanogaster,midbrain,ER3p,EBa1,gaba,"Xie et al., 2017",immuno,5
adult_drosophila_melanogaster,midbrain,ER3w,EBa1,gaba,"Xie et al., 2017",immuno,5
adult_drosophila_melanogaster,midbrain,ER4d,EBa1,gaba,Turner-Evans et al. 2020,scRNA-seq,3
adult_drosophila_melanogaster,midbrain,ER4m,EBa1,"gaba, dopamine",Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,ER5,EBa1,gaba,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,ER6,EBa1,gaba,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,ExR1,DM3__prim,acetylcholine,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,ExR1,DM4__prim,acetylcholine,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,ExR2_1,DM6__prim,dopamine,Nassel and Elekes 1992,immuno,5
adult_drosophila_melanogaster,midbrain,ExR2_2,DM6__prim,dopamine,Nassel and Elekes 1992,immuno,5
adult_drosophila_melanogaster,midbrain,ExR3,putative_primary,serotonin,"Pooryasin et al., 2015",immuno,5
adult_drosophila_melanogaster,midbrain,ExR5,putative_primary,glutamate,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,ExR6,LALv1_dorsal,glutamate,Janelia,EASI-FISH,4
